private,public,position,round,action,bet_size,pot,win,win_prob,ev
K,None,SB,preflop,fold,0,2,0,0.5335,1.067
Q,None,SB,preflop,fold,0,5,0,0.485,2.425
Q,None,SB,preflop,check,0,2,0,0.5,1.0
J,None,BB,preflop,call,1,7,1,0.45,3.05
Q,Q,BB,flop,call,1,6,1,0.8,5.4
K,None,BB,preflop,raise,4,9,0,0.5775000000000001,5.817500000000003
K,J,SB,flop,call,1,4,1,0.62,2.72
J,K,SB,flop,raise,2,4,1,0.399,1.1920000000000002
K,None,BB,preflop,fold,0,5,0,0.5335,2.6675
J,K,BB,flop,check,0,4,0,0.38,1.52
K,None,SB,preflop,fold,0,7,1,0.5335,3.7344999999999997
K,None,SB,preflop,check,0,9,1,0.55,4.95
K,None,BB,preflop,call,1,2,1,0.55,1.2000000000000002
Q,None,BB,preflop,call,2,2,1,0.5,1.0
J,None,BB,preflop,call,1,4,0,0.45,1.7
Q,None,SB,preflop,check,0,8,1,0.5,4.0
J,None,SB,preflop,raise,2,5,1,0.47250000000000003,2.2525000000000004
Q,None,SB,preflop,call,1,6,1,0.5,3.0
Q,None,SB,preflop,check,0,3,0,0.5,1.5
K,J,SB,flop,check,0,3,1,0.62,1.8599999999999999
J,None,BB,preflop,check,0,9,0,0.45,4.05
J,J,SB,flop,raise,1,3,0,0.8400000000000001,3.2
Q,None,SB,preflop,raise,2,8,0,0.525,4.3
J,Q,SB,flop,fold,0,4,0,0.388,1.552
K,K,BB,flop,raise,2,2,1,0.8400000000000001,3.0400000000000005
Q,J,BB,flop,call,1,4,1,0.52,2.12
K,None,SB,preflop,check,0,7,1,0.55,3.8500000000000005
Q,J,BB,flop,raise,4,7,0,0.546,4.19
J,None,SB,preflop,check,0,3,1,0.45,1.35
J,None,SB,preflop,check,0,2,0,0.45,0.9
K,K,BB,flop,check,0,6,0,0.8,4.800000000000001
J,None,BB,preflop,call,2,3,0,0.45,1.15
Q,None,BB,preflop,fold,0,4,0,0.485,1.94
Q,None,SB,preflop,fold,0,3,0,0.485,1.455
Q,None,BB,preflop,raise,2,6,0,0.525,3.25
K,Q,BB,flop,call,2,7,1,0.6,4.6
K,Q,SB,flop,call,2,4,1,0.6,2.8
K,None,BB,preflop,check,0,3,0,0.55,1.6500000000000001
K,None,BB,preflop,fold,0,3,0,0.5335,1.6004999999999998
J,None,SB,preflop,fold,0,9,0,0.4365,3.9285
K,None,SB,preflop,raise,3,7,1,0.5775000000000001,4.507500000000002
K,None,BB,preflop,fold,0,9,0,0.5335,4.8015
Q,None,SB,preflop,check,0,5,1,0.5,2.5
K,None,BB,preflop,fold,0,7,1,0.5335,3.7344999999999997
Q,J,SB,flop,call,2,6,0,0.52,3.2
Q,None,BB,preflop,call,1,2,0,0.5,1.0
K,None,SB,preflop,call,2,4,0,0.55,2.4000000000000004
K,None,SB,preflop,fold,0,5,1,0.5335,2.6675
K,None,BB,preflop,raise,1,3,1,0.5775000000000001,1.8875000000000006
Q,None,SB,preflop,fold,0,5,1,0.485,2.425
K,None,SB,preflop,call,1,3,0,0.55,1.7500000000000002
J,K,BB,flop,fold,0,2,1,0.3686,0.7372
K,None,SB,preflop,call,1,3,1,0.55,1.7500000000000002
Q,Q,BB,flop,raise,3,6,1,0.8400000000000001,7.080000000000001
J,None,SB,preflop,raise,3,8,0,0.47250000000000003,3.6150000000000007
K,None,BB,preflop,raise,1,5,1,0.5775000000000001,3.042500000000001
K,K,SB,flop,raise,3,2,1,0.8400000000000001,3.7200000000000006
J,Q,BB,flop,call,1,3,0,0.4,1.0
Q,J,SB,flop,fold,0,8,1,0.5044,4.0352
Q,None,BB,preflop,check,0,4,1,0.5,2.0
J,K,SB,flop,call,1,8,0,0.38,2.8
Q,None,BB,preflop,check,0,5,0,0.5,2.5
J,None,BB,preflop,check,0,8,1,0.45,3.6
K,None,SB,preflop,check,0,4,1,0.55,2.2
J,None,BB,preflop,call,2,9,0,0.45,3.85
Q,None,BB,preflop,raise,4,8,0,0.525,4.4
Q,None,SB,preflop,call,2,8,0,0.5,4.0
K,Q,SB,flop,raise,3,7,0,0.63,5.1899999999999995
K,K,SB,flop,raise,2,6,1,0.8400000000000001,6.4
Q,None,BB,preflop,call,1,9,0,0.5,4.5
Q,J,SB,flop,fold,0,5,1,0.5044,2.522
Q,J,BB,flop,raise,3,5,1,0.546,3.0060000000000002
Q,K,BB,flop,check,0,4,1,0.48,1.92
K,None,BB,preflop,fold,0,9,0,0.5335,4.8015
Q,K,SB,flop,raise,1,6,0,0.504,3.032
J,None,BB,preflop,call,2,7,1,0.45,2.9499999999999997
Q,None,BB,preflop,call,1,9,0,0.5,4.5
Q,None,SB,preflop,check,0,5,0,0.5,2.5
J,J,BB,flop,check,0,7,1,0.8,5.6000000000000005
Q,None,SB,preflop,fold,0,8,0,0.485,3.88
K,None,BB,preflop,check,0,8,1,0.55,4.4
J,J,BB,flop,call,2,9,1,0.8,8.4
Q,K,BB,flop,call,1,6,0,0.48,2.84
Q,K,BB,flop,raise,3,5,1,0.504,2.544
J,K,BB,flop,call,1,6,1,0.38,2.04
K,None,BB,preflop,raise,2,6,1,0.5775000000000001,3.7750000000000012
Q,None,SB,preflop,fold,0,9,1,0.485,4.365
K,Q,BB,flop,raise,4,9,1,0.63,6.709999999999999
Q,None,SB,preflop,call,2,6,0,0.5,3.0
Q,None,BB,preflop,raise,1,4,0,0.525,2.15
Q,None,SB,preflop,raise,2,2,0,0.525,1.1500000000000001
J,Q,SB,flop,call,1,6,1,0.4,2.2
J,None,SB,preflop,raise,2,2,1,0.47250000000000003,0.8350000000000002
J,None,BB,preflop,raise,1,9,0,0.47250000000000003,4.197500000000001
Q,J,BB,flop,fold,0,5,1,0.5044,2.522
J,None,BB,preflop,call,1,6,1,0.45,2.5999999999999996
K,K,SB,flop,raise,1,9,1,0.8400000000000001,8.24
J,K,SB,flop,call,1,4,0,0.38,1.2799999999999998
Q,J,BB,flop,raise,3,4,0,0.546,2.46
K,None,SB,preflop,raise,3,4,1,0.5775000000000001,2.775000000000001
K,K,SB,flop,raise,4,3,1,0.8400000000000001,5.240000000000001
J,None,SB,preflop,check,0,2,0,0.45,0.9
J,Q,SB,flop,raise,1,2,1,0.42000000000000004,0.6800000000000003
Q,None,SB,preflop,raise,4,2,0,0.525,1.2500000000000004
Q,None,BB,preflop,raise,2,5,1,0.525,2.7250000000000005
J,None,BB,preflop,call,2,6,0,0.45,2.5
Q,None,SB,preflop,check,0,7,0,0.5,3.5
K,None,SB,preflop,raise,1,3,0,0.5775000000000001,1.8875000000000006
Q,None,BB,preflop,call,2,7,1,0.5,3.5
Q,K,BB,flop,check,0,8,0,0.48,3.84
Q,None,BB,preflop,raise,3,4,0,0.525,2.2500000000000004
Q,J,BB,flop,check,0,5,0,0.52,2.6
J,None,BB,preflop,call,1,4,1,0.45,1.7
K,None,SB,preflop,call,1,5,1,0.55,2.8500000000000005
Q,None,BB,preflop,check,0,7,0,0.5,3.5
J,K,SB,flop,check,0,8,1,0.38,3.04
Q,None,BB,preflop,fold,0,5,0,0.485,2.425
Q,None,SB,preflop,raise,1,5,1,0.525,2.6750000000000003
K,None,SB,preflop,check,0,2,1,0.55,1.1
Q,Q,SB,flop,call,1,4,1,0.8,3.8
J,None,BB,preflop,check,0,6,1,0.45,2.7
J,None,BB,preflop,check,0,8,1,0.45,3.6
J,None,SB,preflop,raise,1,8,0,0.47250000000000003,3.7250000000000005
K,K,SB,flop,raise,1,2,0,0.8400000000000001,2.3600000000000003
J,None,BB,preflop,check,0,8,1,0.45,3.6
J,None,SB,preflop,call,2,4,0,0.45,1.6
K,None,BB,preflop,check,0,7,1,0.55,3.8500000000000005
J,K,SB,flop,call,2,6,0,0.38,1.8
Q,J,SB,flop,fold,0,9,1,0.5044,4.5396
K,None,SB,preflop,call,2,9,0,0.55,5.15
Q,None,BB,preflop,call,1,9,0,0.5,4.5
J,J,SB,flop,call,1,9,1,0.8,7.8
K,None,BB,preflop,fold,0,6,0,0.5335,3.2009999999999996
K,J,BB,flop,fold,0,2,1,0.6013999999999999,1.2027999999999999
J,None,BB,preflop,check,0,9,1,0.45,4.05
J,None,SB,preflop,raise,1,2,0,0.47250000000000003,0.89
K,None,SB,preflop,raise,4,2,0,0.5775000000000001,1.7750000000000012
J,None,BB,preflop,call,2,6,1,0.45,2.5
J,None,SB,preflop,fold,0,6,1,0.4365,2.6189999999999998
K,None,BB,preflop,fold,0,9,1,0.5335,4.8015
Q,None,SB,preflop,call,1,8,1,0.5,4.0
Q,J,BB,flop,call,1,5,1,0.52,2.64
Q,Q,SB,flop,call,2,8,0,0.8,7.6
J,None,BB,preflop,call,1,6,0,0.45,2.5999999999999996
K,J,SB,flop,raise,1,5,1,0.651,3.5570000000000004
J,None,BB,preflop,check,0,3,0,0.45,1.35
Q,None,SB,preflop,call,2,6,1,0.5,3.0
Q,None,BB,preflop,fold,0,6,1,0.485,2.91
Q,None,SB,preflop,check,0,5,1,0.5,2.5
Q,K,BB,flop,raise,1,7,1,0.504,3.536
Q,None,BB,preflop,fold,0,4,0,0.485,1.94
K,None,SB,preflop,check,0,8,1,0.55,4.4
J,None,BB,preflop,call,1,7,0,0.45,3.05
J,None,BB,preflop,call,1,8,1,0.45,3.5
J,K,SB,flop,fold,0,3,1,0.3686,1.1058
K,Q,SB,flop,check,0,9,0,0.6,5.3999999999999995
J,None,BB,preflop,fold,0,9,1,0.4365,3.9285
K,None,SB,preflop,call,1,5,1,0.55,2.8500000000000005
Q,None,BB,preflop,raise,3,2,0,0.525,1.2000000000000002
Q,J,SB,flop,check,0,2,1,0.52,1.04
J,None,BB,preflop,fold,0,5,1,0.4365,2.1825
Q,None,BB,preflop,check,0,2,0,0.5,1.0
J,None,SB,preflop,raise,4,4,1,0.47250000000000003,1.6700000000000004
K,Q,SB,flop,fold,0,8,0,0.582,4.656
Q,None,SB,preflop,check,0,2,0,0.5,1.0
Q,None,BB,preflop,raise,4,4,1,0.525,2.3000000000000003
Q,J,SB,flop,call,2,3,1,0.52,1.6400000000000001
K,None,BB,preflop,check,0,7,1,0.55,3.8500000000000005
K,None,BB,preflop,raise,4,6,0,0.5775000000000001,4.085000000000002
Q,None,BB,preflop,call,2,5,1,0.5,2.5
J,None,BB,preflop,check,0,7,1,0.45,3.15
J,K,SB,flop,check,0,4,1,0.38,1.52
Q,J,BB,flop,call,1,8,0,0.52,4.199999999999999
Q,J,SB,flop,raise,4,4,0,0.546,2.5520000000000005
K,None,BB,preflop,raise,2,5,0,0.5775000000000001,3.1975000000000007
Q,None,BB,preflop,raise,2,3,1,0.525,1.675
J,J,SB,flop,raise,3,7,1,0.8400000000000001,7.920000000000001
J,K,BB,flop,check,0,3,0,0.38,1.1400000000000001
J,K,BB,flop,raise,4,7,0,0.399,1.9850000000000003
K,None,SB,preflop,call,1,8,1,0.55,4.5
Q,None,SB,preflop,check,0,8,0,0.5,4.0
K,Q,BB,flop,raise,1,7,0,0.63,4.67
Q,None,SB,preflop,check,0,4,0,0.5,2.0
Q,None,SB,preflop,call,2,9,0,0.5,4.5
Q,None,SB,preflop,call,1,7,0,0.5,3.5
Q,K,BB,flop,raise,2,4,0,0.504,2.032
Q,J,BB,flop,fold,0,5,0,0.5044,2.522
K,None,BB,preflop,check,0,2,1,0.55,1.1
Q,None,SB,preflop,raise,3,5,0,0.525,2.7750000000000004
K,None,SB,preflop,fold,0,3,0,0.5335,1.6004999999999998
K,K,SB,flop,call,1,9,1,0.8,7.8
Q,J,BB,flop,call,2,9,1,0.52,4.760000000000001
Q,None,SB,preflop,check,0,3,1,0.5,1.5
K,Q,SB,flop,check,0,2,1,0.6,1.2
K,Q,BB,flop,fold,0,4,1,0.582,2.328
J,Q,BB,flop,call,1,5,1,0.4,1.8000000000000003
Q,None,SB,preflop,call,1,9,1,0.5,4.5
Q,None,BB,preflop,check,0,7,0,0.5,3.5
K,None,SB,preflop,check,0,9,1,0.55,4.95
K,Q,BB,flop,call,1,8,0,0.6,4.999999999999999
J,None,SB,preflop,call,1,3,0,0.45,1.25
K,J,BB,flop,fold,0,7,1,0.6013999999999999,4.2097999999999995
K,None,SB,preflop,call,2,9,0,0.55,5.15
K,None,SB,preflop,check,0,5,1,0.55,2.75
Q,None,SB,preflop,fold,0,3,1,0.485,1.455
K,None,BB,preflop,call,1,4,0,0.55,2.3
J,None,BB,preflop,fold,0,3,0,0.4365,1.3094999999999999
J,None,SB,preflop,raise,3,8,0,0.47250000000000003,3.6150000000000007
Q,Q,BB,flop,call,2,3,1,0.8,3.6
K,None,BB,preflop,raise,3,2,1,0.5775000000000001,1.620000000000001
J,K,BB,flop,call,2,2,1,0.38,0.28
J,Q,BB,flop,raise,4,2,0,0.42000000000000004,0.20000000000000062
Q,None,SB,preflop,raise,3,4,0,0.525,2.2500000000000004
K,Q,SB,flop,call,2,9,0,0.6,5.8
J,None,BB,preflop,raise,1,8,1,0.47250000000000003,3.7250000000000005
J,K,BB,flop,call,2,3,1,0.38,0.6599999999999999
Q,K,SB,flop,call,1,3,1,0.48,1.4
J,Q,SB,flop,fold,0,6,1,0.388,2.3280000000000003
Q,None,SB,preflop,call,1,8,1,0.5,4.0
Q,Q,BB,flop,call,2,2,1,0.8,2.8000000000000003
K,None,SB,preflop,call,2,2,1,0.55,1.3000000000000003
K,None,SB,preflop,check,0,9,0,0.55,4.95
Q,K,SB,flop,fold,0,3,0,0.46559999999999996,1.3967999999999998
K,None,SB,preflop,call,2,8,1,0.55,4.6
J,K,SB,flop,raise,2,7,0,0.399,2.3890000000000002
K,None,SB,preflop,raise,2,5,0,0.5775000000000001,3.1975000000000007
J,Q,SB,flop,raise,1,4,1,0.42000000000000004,1.52
J,K,BB,flop,call,2,9,0,0.38,2.9399999999999995
J,None,SB,preflop,check,0,2,1,0.45,0.9
J,None,SB,preflop,raise,4,6,1,0.47250000000000003,2.6150000000000007
J,K,BB,flop,call,2,4,1,0.38,1.0400000000000003
Q,None,SB,preflop,check,0,3,1,0.5,1.5
Q,None,SB,preflop,call,2,3,0,0.5,1.5
K,J,BB,flop,check,0,8,0,0.62,4.96
J,None,SB,preflop,fold,0,5,0,0.4365,2.1825
K,None,SB,preflop,raise,2,4,0,0.5775000000000001,2.620000000000001
Q,J,BB,flop,raise,3,3,0,0.546,1.9140000000000004
K,None,BB,preflop,call,1,5,1,0.55,2.8500000000000005
J,None,BB,preflop,check,0,7,1,0.45,3.15
Q,Q,BB,flop,raise,2,9,1,0.8400000000000001,8.92
K,None,BB,preflop,raise,3,9,0,0.5775000000000001,5.662500000000001
J,None,SB,preflop,fold,0,7,0,0.4365,3.0555
Q,None,BB,preflop,call,2,9,0,0.5,4.5
J,None,BB,preflop,call,1,2,1,0.45,0.8
K,None,SB,preflop,check,0,6,0,0.55,3.3000000000000003
K,J,SB,flop,raise,2,3,1,0.651,2.557
J,None,BB,preflop,call,2,3,1,0.45,1.15
Q,K,BB,flop,call,1,8,0,0.48,3.8000000000000003
K,None,SB,preflop,fold,0,8,1,0.5335,4.268
K,J,BB,flop,fold,0,8,1,0.6013999999999999,4.8111999999999995
Q,Q,BB,flop,raise,2,3,0,0.8400000000000001,3.8800000000000003
Q,K,BB,flop,call,2,6,0,0.48,2.8
Q,None,BB,preflop,raise,3,3,1,0.525,1.7250000000000005
K,None,BB,preflop,check,0,5,1,0.55,2.75
J,Q,BB,flop,check,0,5,1,0.4,2.0
K,None,BB,preflop,check,0,9,0,0.55,4.95
J,None,BB,preflop,check,0,2,1,0.45,0.9
K,Q,SB,flop,raise,1,2,1,0.63,1.52
K,None,SB,preflop,fold,0,5,1,0.5335,2.6675
K,None,BB,preflop,raise,3,9,1,0.5775000000000001,5.662500000000001
J,J,SB,flop,raise,4,7,1,0.8400000000000001,8.600000000000001
K,None,BB,preflop,call,2,5,1,0.55,2.9500000000000006
J,None,SB,preflop,check,0,7,0,0.45,3.15
Q,J,BB,flop,raise,4,7,0,0.546,4.19
J,None,SB,preflop,check,0,6,0,0.45,2.7
Q,None,BB,preflop,call,1,5,1,0.5,2.5
J,K,SB,flop,fold,0,3,0,0.3686,1.1058
J,K,BB,flop,raise,1,6,1,0.399,2.192
J,K,BB,flop,check,0,3,1,0.38,1.1400000000000001
Q,J,BB,flop,call,2,6,1,0.52,3.2
Q,Q,BB,flop,raise,1,2,1,0.8400000000000001,2.3600000000000003
K,None,BB,preflop,fold,0,4,0,0.5335,2.134
J,None,SB,preflop,call,1,5,1,0.45,2.1500000000000004
Q,None,BB,preflop,call,2,9,1,0.5,4.5
K,J,SB,flop,call,2,5,0,0.62,3.58
Q,None,BB,preflop,raise,1,5,1,0.525,2.6750000000000003
J,None,SB,preflop,call,2,8,0,0.45,3.4
J,None,BB,preflop,call,2,4,1,0.45,1.6
J,None,BB,preflop,call,2,4,0,0.45,1.6
J,J,SB,flop,call,1,3,1,0.8,3.0
J,None,SB,preflop,call,2,6,0,0.45,2.5
K,None,BB,preflop,check,0,4,1,0.55,2.2
Q,None,SB,preflop,call,2,5,0,0.5,2.5
K,None,SB,preflop,check,0,6,1,0.55,3.3000000000000003
K,None,SB,preflop,raise,1,7,0,0.5775000000000001,4.197500000000002
J,J,SB,flop,call,2,3,1,0.8,3.6
Q,K,BB,flop,check,0,9,0,0.48,4.32
K,None,BB,preflop,call,1,3,1,0.55,1.7500000000000002
K,None,SB,preflop,call,1,8,0,0.55,4.5
Q,None,SB,preflop,check,0,3,1,0.5,1.5
K,None,SB,preflop,call,1,2,0,0.55,1.2000000000000002
K,K,BB,flop,raise,2,9,0,0.8400000000000001,8.92
J,None,SB,preflop,call,2,5,0,0.45,2.05
K,None,BB,preflop,check,0,7,1,0.55,3.8500000000000005
J,None,BB,preflop,check,0,7,1,0.45,3.15
Q,None,SB,preflop,raise,2,5,1,0.525,2.7250000000000005
Q,Q,SB,flop,call,2,2,0,0.8,2.8000000000000003
Q,None,SB,preflop,check,0,6,0,0.5,3.0
Q,Q,SB,flop,raise,4,3,1,0.8400000000000001,5.240000000000001
K,J,SB,flop,fold,0,7,1,0.6013999999999999,4.2097999999999995
Q,None,SB,preflop,check,0,8,1,0.5,4.0
Q,None,SB,preflop,call,1,9,0,0.5,4.5
J,None,SB,preflop,check,0,4,0,0.45,1.8
J,None,SB,preflop,call,1,5,0,0.45,2.1500000000000004
J,None,SB,preflop,raise,1,3,1,0.47250000000000003,1.3625000000000003
Q,None,BB,preflop,call,2,8,1,0.5,4.0
J,Q,BB,flop,call,2,5,1,0.4,1.6000000000000003
K,None,BB,preflop,check,0,2,0,0.55,1.1
K,Q,SB,flop,raise,1,2,0,0.63,1.52
J,Q,BB,flop,fold,0,6,0,0.388,2.3280000000000003
K,None,SB,preflop,call,1,8,1,0.55,4.5
K,None,SB,preflop,call,2,2,0,0.55,1.3000000000000003
K,None,SB,preflop,call,2,7,1,0.55,4.050000000000001
Q,None,BB,preflop,raise,2,8,1,0.525,4.3
Q,None,BB,preflop,raise,4,7,0,0.525,3.8750000000000004
Q,None,BB,preflop,check,0,9,1,0.5,4.5
Q,None,SB,preflop,fold,0,4,0,0.485,1.94
Q,J,BB,flop,raise,1,4,0,0.546,2.2760000000000007
